time,flux,flux_err
136.6816051049973,30024.63,6.024428
136.70203949993447,30024.71,6.025993
136.72247389482072,30040.22,6.023071
136.7429081897062,30028.062,6.0303097
136.76334268452774,30022.932,6.029114
136.7837770793558,30029.094,6.0265474
136.80421137418307,30021.008,6.026118
136.8246458690046,30026.441,6.023303
136.84508026377443,30034.133,6.021876
136.865514658537,30046.262,6.023127
136.88594895330607,30039.795,6.032334
136.90638344801846,30059.596,6.032718
136.9268178427301,30048.23,6.0313606
136.94725213737547,30050.193,6.030614
136.96768663208786,30050.838,6.029341
136.988121026734,30052.594,6.0275755
137.00855532138667,30059.082,6.0254083
137.02898971598188,30062.37,6.0289693
137.04942421057785,30058.678,6.0280833
137.06985850516503,30049.912,6.028347
137.09029289970204,30054.164,6.032276
137.11072739429073,30065.463,6.0297203
137.13116168876877,30070.215,6.0318317
137.15159608330578,30079.268,6.031707
137.17203047778457,30081.38,6.034648
137.19246497225686,30075.13,6.0291977
137.2128992666767,29764.422,6.0147066
137.23333366109728,29470.328,5.996042
137.25376795550983,29464.184,5.9947906
137.27420244987297,29513.508,5.995131
137.29463684423536,29930.729,6.0255246
137.3150711385897,30091.945,6.035424
137.33550563289464,30119.201,6.0360413
137.35594002725702,30103.139,6.0318036
137.3763744214957,,
137.39680871574092,30114.768,6.0344377
137.41724320998765,30117.398,6.0345745
137.43767760422634,30128.992,6.033221
137.45811189841334,30132.303,6.0336285
137.47854639260186,30129.28,6.030808
137.49898078678234,30119.805,6.0327444
137.51941508091113,30122.66,6.0315146
137.53984947504068,30114.867,6.0344176
137.5602839691055,30144.836,6.034422
137.5807182631761,30141.309,6.032414
137.60115265724744,30141.246,6.032365
137.62158715125406,30136.453,6.033604
137.6420215452672,30161.076,6.0277786
137.66245583927957,30183.969,6.034643
137.68289023322723,30158.506,6.035755
137.70332472718292,30153.717,6.036866
137.72375902107888,30165.518,6.0381694
137.74419341502653,30170.398,6.0345902
137.7646279088658,30180.916,6.036885
