time,flux,flux_err,flux_norm,flux_err_norm
131.51170357028604,29892.494,6.0183363,1.0491977036175328,0.00021123779854427804
131.5321380667956,29915.06,6.016568,1.0499897484492502,0.00021117573292006795
131.55257246331166,29906.873,6.0160174,1.0497023926468363,0.000211156407391204
131.5730067598197,29924.246,6.0182595,1.0503121681879788,0.00021123510293836312
131.59344115633576,29928.287,6.0148954,1.0504540033898297,0.00021111702627354088
131.6138756529108,29938.674,6.018797,1.0508185770700142,0.00021125396866986397
131.6343099494261,29942.066,6.01753,1.0509376329979228,0.000211209498192075
131.6547443459349,29955.1,6.0180035,1.05139511382468,0.00021122611758531343
131.67517884250992,29978.49,6.022273,1.0522160802615257,0.00021137597291674196
131.69561323907692,29965.965,6.024003,1.051776464843762,0.00021143669424789814
131.71604753559222,29982.932,6.023747,1.0523719901765523,0.00021142770889484843
131.7364819321665,29984.713,6.0234714,1.0524345015585113,0.00021141803560070587
131.75691642873426,29995.133,6.023037,1.0528002335068625,0.00021140278857974967
131.77735072530777,30006.428,6.0229344,1.0531966771111452,0.00021139918741872269
131.79778512188204,30010.36,6.0225124,1.053334686518143,0.00021138437562580483
131.8182196184498,30014.604,6.0199995,1.05348364682417,0.0002112961752598728
131.83865391502331,30029.812,6.0219965,1.0540174329537788,0.00021136626803346757
131.8590883115976,30038.678,6.025426,1.0543286210011955,0.00021148664017520176
131.8795227081646,30044.123,6.027753,1.0545197352486784,0.00021156831563046212
131.89995710479707,30038.133,6.025255,1.0543094920269296,0.00021148063824015683
131.92039150137134,30057.25,6.0239296,1.054980480285723,0.00021143411797870342
131.94082589793834,30066.04,6.021471,1.055289000806453,0.00021134782349039094
131.96126029457082,30065.594,6.026003,1.0552733466366868,0.00021150689231859892
131.9816946911451,30082.23,6.0304847,1.0558572541887759,0.0002116641956653288
132.0021290877121,30094.38,6.02575,1.0562837074682834,0.0002114980122626553
132.0225633843438,30092.96,6.0294495,1.0562338668380857,0.0002116278611439341
132.04299788097703,30080.67,6.0274534,1.0558024996936293,0.00021155779995947114
132.06343227754405,30108.748,6.0302854,1.0567880104081977,0.0002116572004275835
132.08386657417577,30109.084,6.031598,1.0567998036840756,0.0002117032714213844
132.10430097080825,30118.377,6.03411,1.0571259790195868,0.0002117914401981846
132.12473546743422,30115.014,6.0327897,1.0570079409637032,0.00021174509894181148
132.14516976400773,30134.297,6.0350385,1.057684755662365,0.00021182402965250744
132.1656041606402,30138.82,6.0285406,1.0578435085992548,0.0002115959596307041
132.18603865726618,30140.371,6.031508,1.0578979472030834,0.00021170011250820286
132.20647305389866,30149.121,6.03456,1.0582050637623992,0.00021180723476409228
132.22690735053038,30159.906,6.035263,1.0585836068586534,0.00021183190938594358
132.24734174716286,30152.95,6.024019,1.058339457968756,0.00021143725583246375
132.26777624378883,30169.44,6.0348983,1.058918241061684,0.00021181910876775132
132.28821054042055,30175.46,6.033633,1.0591295372544933,0.00021177469795832245
132.30864493704576,30185.58,6.0339713,1.0594847394922395,0.00021178657196198152
132.329079433679,30196.262,6.0377874,1.0598596673878524,0.00021192051339078216
132.34951373031072,30182.41,6.0353208,1.0593734755501787,0.00021183393811018687
132.3699481269432,30197.578,6.0347195,1.0599058577183735,0.00021181283306023066
132.3903825235684,30210.16,6.0326157,1.0603474737811522,0.0002117389917096605
132.4108169202591,30199.832,6.033717,1.0599849709440532,0.0002117776462772919
132.4312513168843,30217.322,6.038808,1.0605988530723318,0.00021195633546626077
132.45168571351678,30217.186,6.035798,1.0605940796035243,0.00021185068736985607
132.47212021015002,30239.723,6.036314,1.061385106563216,0.00021186879847209688
132.49255450683995,30229.498,6.0376673,1.061026218926758,0.00021191629799663657
132.51298890346516,30237.254,6.0356956,1.0612984470449358,0.0002118470932286362
132.53342320009688,30240.326,6.039391,1.0614062712815324,0.00021197679820387006
132.55385769672284,30253.785,6.0437307,1.0618786691983133,0.00021212911748758019
132.57429209335533,30245.697,6.036446,1.0615947882003993,0.00021187343154476312
132.59472639004525,30265.383,6.0390143,1.0622857478103072,0.00021196357639725354
132.6151608866785,30262.133,6.0378666,1.0621716759454185,0.0002119232932343819
132.6355952833037,30271.475,6.0396314,1.0624995711336618,0.00021198523601196828
132.6560296799944,30266.244,6.0442467,1.0623159680797438,0.000212147228589821
132.6764639766261,30272.674,6.0339394,1.062541654877047,0.00021178545230275382
132.69689847325208,30272.451,6.0369477,1.0625338277921639,0.00021189104073079842
132.71733286988456,30289.154,6.0453553,1.0631200869796213,0.0002121861393804104
132.73776716657449,30297.705,6.0363297,1.0634202188309028,0.00021186934952695187
132.75820166320045,29894.482,6.0189543,1.0492674804998097,0.0002112594897481246
132.77863605983293,29670.535,6.004569,1.0414071568301941,0.00021075457959489853
132.79907035646465,29659.424,5.9975057,1.041017171448416,0.00021050666457850804
132.81950475314807,29782.752,6.0094686,1.0453458652801098,0.00021092655082850133
132.8399392497813,30210.127,6.0329523,1.0603463155129857,0.00021175080604495943
132.86037354641303,30316.559,6.0364413,1.0640819760433993,0.00021187326657929698
132.88080794303823,30315.88,6.0392876,1.0640581437983962,0.0002119731689636148
132.90124243967148,30311.666,6.038372,1.0639102364634296,0.000211941032286848
132.9216767363032,30330.691,6.0423303,1.0645779956109709,0.00021207996479847546
